,Level,Word,Reading,Meaning
17,5,彼処,あそこ,"[Pronoun, No-adjective] 1. there (place physically distant from both speaker and listener); over there; that place; yonder {Usually written using kana alone, See also 何処, See also 此処, See also 其処} [Noun] 2. genitals {Colloquialism, Only applies to あそこ, Only applies to あすこ} 3. that far (something psychologically distant from both speaker and listener); that much; that point {See also あれほど} | Other forms: 彼処 【あすこ】、彼処 【かしこ】、彼処 【あしこ】、彼処 【あこ】、彼所 【あそこ】、彼所 【あすこ】、彼所 【かしこ】、彼所 【あしこ】、彼所 【あこ】 [Notes] あしこ: Out-dated or obsolete kana usage. あこ: Out-dated or obsolete kana usage. あしこ: Out-dated or obsolete kana usage. あこ: Out-dated or obsolete kana usage."
18,5,遊ぶ,あそぶ,"[Godan verb with bu ending, intransitive verb] 1. to play; to enjoy oneself; to have a good time 2. to mess about (with alcohol, gambling, philandery, etc.) 3. to be idle; to do nothing; to be unused 4. to go to (for pleasure or for study) {as 〜に遊ぶ} 5. to intentionally throw a ball to lower the batter's concentration {Baseball term} | Other forms: 遊ぶ 【あすぶ】 [Notes] あすぶ: Out-dated or obsolete kana usage."
19,5,暖かい,あたたかい,"[I-adjective] 1. warm; mild; genial {暖かい, 暖い usu. refer to air temperature} | Other forms: 暖かい 【あったかい】、温かい 【あたたかい】、温かい 【あったかい】、暖い 【あたたかい】、暖い 【あったかい】 [Notes] 暖い: Irregular okurigana usage. 暖い: Irregular okurigana usage."
20,5,頭,あたま,[Noun] 1. head 2. hair (on one's head) 3. mind; brains; intellect {Only applies to あたま} 4. leader; chief; boss; captain 5. top; tip 6. beginning; start 7. head; person {Only applies to あたま} 8. top structural component of a kanji {Only applies to かしら} | Other forms: 頭 【かしら】
21,5,新しい,あたらしい,[I-adjective] 1. new; novel; fresh; recent; latest; up-to-date; modern | Other forms: 新らしい 【あたらしい】 [Notes] 新らしい: Irregular okurigana usage.
22,5,彼方,あちら,"[Pronoun, No-adjective] 1. that way (direction distant from both speaker and listener); over there; yonder {Usually written using kana alone, See also 何方 どちら, See also 此方 こちら, See also 其方} 2. that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener); that [Pronoun] 3. that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener) {あちら is pol.} 4. there (place distant from both speaker and listener); over there; foreign country (esp. a Western nation) | Other forms: 彼方 【あっち】、彼方 【あち】 [Notes] あち: Out-dated or obsolete kana usage."
23,5,厚い,あつい,[I-adjective] 1. thick; deep; heavy {Only applies to 厚い} 2. kind; cordial; hospitable; warm; faithful 3. serious (of an illness) {Only applies to 篤い} 4. abundant {Only applies to 厚い} | Other forms: 篤い 【あつい】
24,5,暑い,あつい,"[I-adjective] 1. hot (weather, etc.); warm {Antonym: 寒い}"
25,5,熱い,あつい,"[I-adjective] 1. hot (thing) {Antonym: 冷たい} 2. passionate (feelings, etc.); ardent; hot (e.g. gaze) {Antonym: 冷たい} 3. hot (e.g. temper) 4. zealous; enthusiastic; fired up 5. intense; severe; extreme 6. hot (topic); of interest"
26,5,後,あと,"[Noun, No-adjective] 1. behind; rear {See also 後ずさり} 2. after; later {See also その後} 3. after one's death 4. remainder; the rest 5. descendant; successor; heir [Adverbial noun] 6. more (e.g. five more minutes); left 7. also; in addition [Noun, No-adjective] 8. past; previous {Archaism}"
27,5,貴方,あなた,"[Pronoun, No-adjective] 1. you (referring to someone of equal or lower status) {Usually written using kana alone, Polite (teineigo), 貴女 refers only to females and 貴男 refers only to males} 2. dear (what a wife calls a husband) {Only applies to 貴方, Only applies to 貴男} | Other forms: 貴女 【あなた】、貴男 【あなた】"
28,5,兄,あに,[Noun] 1. elder brother; older brother {Humble (kenjougo)}
29,5,姉,あね,[Noun] 1. older sister; elder sister {Humble (kenjougo)} [Place] 2. Ane | Other forms: 姐 【あね】
30,5,あのう,あのう,1. say; well; errr ... | Other forms: あの、あのー
31,5,アパート,アパート,"[Noun] 1. apartment building; apartment block; apartment house {Abbreviation, See also アパートメントハウス} 2. apartment {Abbreviation, See also アパートメント}"
32,5,浴びる,あびる,"[Ichidan verb, Transitive verb] 1. to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in 2. to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with"
33,5,危ない,あぶない,[I-adjective] 1. dangerous; risky; hazardous; perilous; precarious 2. in danger; in jeopardy; critical; grave; at risk 3. uncertain; unreliable; insecure; unsteady; doubtful 4. close (i.e. a close call); narrow 5. look out!; watch out!
34,5,甘い,あまい,[I-adjective] 1. sweet-tasting; sweet; sugary; sugared 2. fragrant (smelling); sweet (music) 3. lightly salted; light in salt; not spicy 4. naive; overly optimistic; soft on; generous; indulgent; easy-going; lenient {See also 甘く見る} 5. half-hearted; not finished properly 6. insufficient; not satisfactory; inadequate; loose 7. mild 8. tempting; enticing; luring {See also 甘い言葉}
35,5,余り,あまり,"[Na-adjective, Adverb, No-adjective, Noun, Noun - used as a suffix] 1. remainder; rest; balance; remains; scraps; residue; remnant {Usually written using kana alone} [Adverb] 2. not very (with negative sentence); not much {Usually written using kana alone} [Adverb, No-adjective] 3. surplus; excess; fullness; too much {Usually written using kana alone, See also の余り のあまり} [Noun - used as a suffix] 4. more than; over | Other forms: 余り 【あんまり】、餘り 【あまり】、餘り 【あんまり】 [Notes] 餘り: Out-dated kanji. 餘り: Out-dated kanji."
36,5,雨,あめ,[Noun] 1. rain
37,5,飴,あめ,"[Noun] 1. (hard) candy; toffee {Food term} 2. rice-sugar; sugar made from the starch of rice, potatoes, etc. {Food term} 3. amber; yellowish-brown {Abbreviation, See also 飴色}"
38,5,洗う,あらう,"[Godan verb with u ending, Transitive verb] 1. to wash 2. to investigate"
39,5,有る,ある,"Godan verb with ru ending (irregular verb), intransitive verb 1. to be (usu. of inanimate objects); to exist; to live {Usually written using kana alone, See also 居る いる} 2. to have {Usually written using kana alone} 3. to be located {Usually written using kana alone} 4. to be equipped with {Usually written using kana alone} 5. to happen; to come about {Usually written using kana alone} | Other forms: 在る 【ある】"
40,5,歩く,あるく,"[Godan verb with ku ending, intransitive verb] 1. to walk"
41,5,彼,あれ,"[Noun] 1. that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly) {Usually written using kana alone, See also 何れ, See also 此れ, See also 其れ} 2. that person (used to refer to one's equals or inferiors) 3. over there {Archaism} 4. down there (i.e. one's genitals) {Colloquialism, Only applies to あれ} 5. period; menses {Colloquialism, Only applies to あれ} 6. hey (expression of surprise, suspicion, etc.); huh?; eh? {Usually written using kana alone} [Noun] 7. that (something mentioned before which is distant psychologically or in terms of time) {Usually written using kana alone} | Other forms: 彼 【あ】 [Notes] あ: Out-dated or obsolete kana usage."
42,5,否,いいえ,1. no; nay {Usually written using kana alone} 2. well; er; why {Usually written using kana alone} 3. you're welcome; not at all; don't mention it {Usually written using kana alone} | Other forms: 否 【いいや】、否 【いえ】、否 【いな】、否 【いや】
43,5,言う,いう,"[Godan verb with u ending] 1. to say; to utter; to declare 2. to name; to call 3. to go (e.g. ""the alarm went ping""); to make a noise {Only applies to 言う} | Other forms: 言う 【ゆう】、云う 【いう】、云う 【ゆう】、謂う 【いう】、謂う 【ゆう】"
44,5,家,いえ,[Noun] 1. house; residence; dwelling 2. family; household 3. lineage; family name
45,5,行く,いく,"[Godan verb - Iku/Yuku special class, intransitive verb] 1. to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach {See also 来る くる} 2. to proceed; to take place {See also 旨く行く, い sometimes omitted in auxiliary use} 3. to pass through; to come and go 4. to walk 5. to die; to pass away {Only applies to 逝く} 6. to do (in a specific way) 7. to stream; to flow [Auxiliary verb] 8. to continue [Godan verb - Iku/Yuku special class, intransitive verb] 9. to have an orgasm; to come; to cum {Usually written using kana alone} 10. to trip; to get high; to have a drug-induced hallucination {Usually written using kana alone, Slang} | Other forms: 行く 【ゆく】、往く 【いく】、往く 【ゆく】、逝く 【いく】、逝く 【ゆく】 [Notes] 往く: Out-dated kanji. 往く: Out-dated kanji. 逝く: Out-dated kanji. 逝く: Out-dated kanji."
46,5,幾つ,いくつ,[Adverb] 1. how many? {Usually written using kana alone} 2. how old?
47,5,幾ら,いくら,"[Adverb, Noun] 1. how much?; how many? {Usually written using kana alone} [Adverb] 2. even; even if"
48,5,池,いけ,[Noun] 1. pond
49,5,医者,いしゃ,"[Noun] 1. (medical) doctor; physician {Sensitive, See also お医者さん, pol. お医者さん}"
50,5,椅子,いす,[Noun] 1. chair; stool 2. post; office; position | Other forms: 倚子 【いす】、イス [Notes] 倚子: Out-dated kanji.
51,5,忙しい,いそがしい,[I-adjective] 1. busy; occupied; hectic 2. restless; hurried; fidgety | Other forms: 忙がしい 【いそがしい】、忙しい 【せわしい】 [Notes] 忙がしい: Irregular okurigana usage.
52,5,痛い,いたい,"[I-adjective] 1. painful; sore [I-adjective, Suffix] 2. exceeding {See also 甚く, esp. 甚い} | Other forms: 甚い 【いたい】"
53,5,一,いち,"[Numeric, Prefix] 1. one {See also ワン, １ can also be read ワン. 壱, 弌 and 壹 are used in legal documents} [No-adjective, Suffix] 2. best [No-adjective] 3. first; foremost [Noun] 4. beginning; start 5. bottom string (on a shamisen, etc.) | Other forms: １ 【いち】、壱 【いち】、弌 【いち】、壹 【いち】 [Notes] 壹: Out-dated kanji."
54,5,一日,いちにち,"[Noun] 1. one day 2. first day of the month {See also ついたち} | Other forms: 一日 【いちじつ】、一日 【ひとひ】、一日 【ひとえ】、１日 【いちにち】、１日 【いちじつ】、１日 【ひとひ】、１日 【ひとえ】 [Notes] いちにち: ichi1, spec 1. 一日: ichi 1. 一日: ichi 1. ひとひ: Out-dated or obsolete kana usage. 一日: ichi 1. ひとえ: Out-dated or obsolete kana usage. 一日: ichi 1. いちにち: ichi1, spec 1. １日: spec 1. １日: spec 1. ひとひ: Out-dated or obsolete kana usage. １日: spec 1. ひとえ: Out-dated or obsolete kana usage. １日: spec1."
55,5,一日,いちにち,"[Noun] 1. one day 2. first day of the month {See also ついたち} | Other forms: 一日 【いちじつ】、一日 【ひとひ】、一日 【ひとえ】、１日 【いちにち】、１日 【いちじつ】、１日 【ひとひ】、１日 【ひとえ】 [Notes] いちにち: ichi1, spec1. 一日: ichi1. 一日: ichi1. ひとひ: Out-dated or obsolete kana usage. 一日: ichi1. ひとえ: Out-dated or obsolete kana usage. 一日: ichi1. いちにち: ichi1, spec1. １日: spec1. １日: spec1. ひとひ: Out-dated or obsolete kana usage. １日: spec1. ひとえ: Out-dated or obsolete kana usage. １日: spec1."
56,5,一番,いちばん,"[Noun, No-adjective] 1. number one; first; first place [Adverb] 2. best; most [Noun] 3. game; round; bout [Adverb] 4. as a test; as an experiment; by way of experiment; by way of trial; tentatively {See also 試しに} [Noun] 5. song (e.g. in noh); piece [Place] 6. Ichiban | Other forms: １番 【いちばん】"
57,5,何時,いつ,"[Adverbial noun, Pronoun] 1. when; how soon {Usually written using kana alone}"
58,5,五日,いつか,[Noun] 1. the fifth day of the month 2. five days [Place] 3. Itsuka | Other forms: ５日 【いつか】
59,5,一昨年,いっさくねん,"[Adverbial noun, Temporal noun] 1. year before last | Other forms: 一昨年 【おととし】、おと年 【おととし】"
60,5,一緒,いっしょ,"[Adverbial noun, Noun, No-adjective] 1. together {See also 御一緒} 2. at the same time 3. same; identical | Other forms: 一しょ 【いっしょ】 [Notes] 一しょ: Irregular okurigana usage."
61,5,五つ,いつつ,[Numeric] 1. five | Other forms: ５つ 【いつつ】、伍つ 【いつつ】 [Notes] 伍つ: Out-dated kanji.
62,5,何時も,いつも,"[Adverb, Noun] 1. always; usually; every time {Usually written using kana alone} 2. never {Usually written using kana alone, with neg. verb}"
63,5,犬,いぬ,"[Noun] 1. dog (Canis (lupus) familiaris) 2. snoop (i.e. a detective, a spy, etc.) 3. loser; asshole {Derogatory} [Noun - used as a prefix] 4. counterfeit; inferior; useless; wasteful | Other forms: 狗 【いぬ】、イヌ"
64,5,今,いま,"[Adverbial noun, Noun] 1. now; the present time; just now; soon; immediately; (one) more"
65,5,意味,いみ,"[Noun, Suru verb] 1. meaning; significance"
66,5,妹,いもうと,[Noun] 1. younger sister {Humble (kenjougo)}
67,5,嫌,いや,"[Na-adjective, Noun] 1. disagreeable; detestable; unpleasant; reluctant | Other forms: 厭 【いや】、厭や 【いや】、嫌 【や】、厭 【や】、イヤ [Notes] 厭や: Irregular okurigana usage."
68,5,入口,いりぐち,"[Noun, No-adjective] 1. entrance; entry; gate; approach; mouth {See also 出口} | Other forms: 入口 【いりくち】、入口 【はいりぐち】、入口 【はいりくち】、入り口 【いりぐち】、入り口 【いりくち】、入り口 【はいりぐち】、入り口 【はいりくち】"
69,5,居る,いる,"[Ichidan verb, intransitive verb] 1. to be (of animate objects); to exist {Usually written using kana alone, See also 在る} 2. to stay {Usually written using kana alone} [Ichidan verb, Auxiliary verb] 3. verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing) {Usually written using kana alone, after the -te form of a verb, the い is sometimes dropped}"
70,5,要る,いる,"[Godan verb with ru ending, intransitive verb] 1. to need; to want {Usually written using kana alone}"
71,5,入れる,いれる,"[Ichidan verb, Transitive verb] 1. to put in; to let in; to take in; to bring in; to insert; to set (a jewel, etc.); to ink in (e.g. a tattoo) 2. to admit; to accept; to employ; to hire 3. to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to {esp. 容れる} 4. to include 5. to pay (one's rent, etc.) 6. to cast (a vote) 7. to make (tea, coffee, etc.) {See also 淹れる} 8. to turn on (a switch, etc.) 9. to send (a fax); to call | Other forms: 容れる 【いれる】、函れる 【いれる】"
72,5,色,いろ,[Noun] 1. colour; color 2. complexion 3. appearance; look 4. love; lust; sensuality; love affair; lover {See also 色仕掛け} 5. kind; type; variety {also written 種}
73,5,色々,いろいろ,"[Noun, Na-adjective, No-adjective, Adverb, Adverb taking the 'to' particle] 1. various {Usually written using kana alone} 2. various colors (colours) {Archaism} | Other forms: 色色 【いろいろ】"
74,5,上,うえ,"[Noun, No-adjective, Adverbial noun, Noun - used as a suffix] 1. above; up; over; elder (e.g. daughter) 2. top; summit 3. surface; on 4. before; previous 5. superiority; one's superior (i.e. one's elder) 6. on top of that; besides; what's more 7. upon (further inspection, etc.); based on (and occurring after) 8. matters concerning...; as concerns ... 9. since (i.e. ""for that reason"") {as ...上は} [Noun - used as a suffix] 10. suffix indicating higher social standing {Honorific or respectful (sonkeigo), See also 父上} 11. place of one's superior (i.e. the throne) {Archaism} 12. emperor; sovereign; shogun; daimyo {Archaism} 13. noblewoman (esp. the wife of a nobleman) {Archaism}"
75,5,後ろ,うしろ,"[Noun, No-adjective] 1. back; behind; rear | Other forms: 後 【うしろ】 [Notes] 後: Irregular okurigana usage."
76,5,薄い,うすい,"[I-adjective] 1. thin 2. pale; light 3. watery; dilute; sparse 4. weak (taste, etc.) 5. slim (probability, etc.); small"
77,5,歌,うた,"[Noun] 1. song {Only applies to 歌, Only applies to 唄, 唄 is primarily used for shamisen songs} 2. classical Japanese poetry (esp. tanka) {Only applies to 歌, See also 短歌} 3. modern poetry {Only applies to 歌, Only applies to 詩} | Other forms: 唄 【うた】、詩 【うた】"
78,5,歌う,うたう,"[Godan verb with u ending, Transitive verb, intransitive verb] 1. to sing [Godan verb with u ending, Transitive verb] 2. to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem {esp. 歌う, 詠う} | Other forms: 唄う 【うたう】、謡う 【うたう】、詠う 【うたう】、唱う 【うたう】"
79,5,生まれる,うまれる,"[Ichidan verb, intransitive verb] 1. to be born | Other forms: 産まれる 【うまれる】、生れる 【うまれる】、産れる 【うまれる】"
80,5,海,うみ,[Noun] 1. sea; ocean; waters | Other forms: 海 【み】、海 【わた】、海 【わだ】 [Notes] み: Out-dated or obsolete kana usage. わた: Out-dated or obsolete kana usage. わだ: Out-dated or obsolete kana usage.
81,5,売る,うる,"[Godan verb with ru ending, Transitive verb] 1. to sell"
82,5,煩い,うるさい,[I-adjective] 1. noisy; loud {Usually written using kana alone} 2. annoying; troublesome; tiresome; persistent; importunate {Usually written using kana alone} 3. fussy; finicky; picky; particular; nagging; fastidious; bossy {Usually written using kana alone} 4. shut up!; be quiet! {Usually written using kana alone} | Other forms: 五月蝿い 【うるさい】、五月蠅い 【うるさい】、煩さい 【うるさい】、ウルサイ [Notes] うるさい: ichi 1. 煩い: ichi 1. うるさい: ichi 1. 五月蝿い: Ateji (phonetic) reading. うるさい: ichi 1. 五月蠅い: Ateji (phonetic) reading. うるさい: ichi 1. 煩さい: Irregular okurigana usage.
83,5,煩い,うるさい,[I-adjective] 1. noisy; loud {Usually written using kana alone} 2. annoying; troublesome; tiresome; persistent; importunate {Usually written using kana alone} 3. fussy; finicky; picky; particular; nagging; fastidious; bossy {Usually written using kana alone} 4. shut up!; be quiet! {Usually written using kana alone} | Other forms: 五月蝿い 【うるさい】、五月蠅い 【うるさい】、煩さい 【うるさい】、ウルサイ [Notes] うるさい: ichi1. 煩い: ichi1. うるさい: ichi1. 五月蝿い: Ateji (phonetic) reading. うるさい: ichi1. 五月蠅い: Ateji (phonetic) reading. うるさい: ichi1. 煩さい: Irregular okurigana usage.
84,5,上着,うわぎ,[Noun] 1. coat; tunic; jacket; outer garment | Other forms: 上衣 【うわぎ】、表着 【うわぎ】、上衣 【じょうい】
85,5,絵,え,"[Noun, Noun - used as a suffix] 1. picture; drawing; painting; sketch"
86,5,映画,えいが,"[Noun, No-adjective] 1. movie; film"
87,5,映画館,えいがかん,[Noun] 1. movie theatre; movie theater; cinema
88,5,英語,えいご,"[Noun, No-adjective] 1. English (language)"
89,5,ええ,ええ,"1. yes; that is correct; right 2. um; errr 3. huh? 4. grrr; gah; Must I? [Noun or verb acting prenominally] 5. good {Kansai dialect, See also 良い} | Other forms: えー [Notes] えー: Irregular kana usage."
90,5,駅,えき,[Noun] 1. station | Other forms: 驛 【えき】 [Notes] 驛: Out-dated kanji.
91,5,エレベーター,エレベーター,"[Noun] 1. elevator; lift 2. elevator (aviation) {See also 昇降舵} | Other forms: エレベータ [Notes] エレベーター: gai1, ichi1."
92,5,鉛筆,えんぴつ,[Noun] 1. pencil | Other forms: エンピツ
93,5,美味しい,おいしい,[I-adjective] 1. delicious; tasty; sweet {Usually written using kana alone} | Other forms: オイシイ
94,5,多い,おおい,[I-adjective] 1. many; numerous; a lot 2. large quantity; large amount 3. frequent; common
95,5,大きい,おおきい,[I-adjective] 1. big; large; great; loud
96,5,大きな,おおきな,[Pre-noun adjectival] 1. big; large; great {See also 小さな}
97,5,大勢,おおぜい,"[Noun, No-adjective] 1. many; crowd; great number of people | Other forms: 大勢 【たいぜい】、大ぜい 【おおぜい】、大ぜい 【たいぜい】"
98,5,お母さん,おかあさん,"[Noun] 1. mother {Honorific or respectful (sonkeigo), See also 母さん} | Other forms: 御母さん 【おかあさん】"
99,5,お菓子,おかし,[Noun] 1. confections; sweets; candy | Other forms: 御菓子 【おかし】
100,5,お金,おかね,"[Noun] 1. money {Polite (teineigo), See also 金 かね} | Other forms: 御金 【おかね】"
101,5,起きる,おきる,"[Ichidan verb, intransitive verb] 1. to get up; to rise; to blaze up (fire) 2. to wake up; to be awake; to stay awake 3. to occur (usu. of unfavourable incidents); to happen; to take place"
102,5,置く,おく,"[Godan verb with ku ending, Transitive verb] 1. to put; to place 2. to leave (behind) 3. to establish (an organization, a facility, a position, etc.); to set up 4. to appoint (someone to a certain position); to hire; to employ 5. to place (one's trust, one's faith, etc); to bear (in mind etc) 6. to put down a tool (e.g. a pen) hence stopping what one is doing with that tool 7. to take in (boarders, etc.); to provide lodging in one's house 8. to separate spatially or temporally [Godan verb with ku ending, Auxiliary verb] 9. to do something in advance {Usually written using kana alone, after the -te form of a verb} 10. to leave something in a certain state; to keep something in a certain state {Usually written using kana alone, after the -te form of a verb}"
103,5,奥さん,おくさん,[Noun] 1. wife; your wife; his wife; married lady; madam {Honorific or respectful (sonkeigo)}
104,5,お酒,おさけ,"[Noun] 1. alcohol; sake {Polite (teineigo), See also 酒} | Other forms: 御酒 【おさけ】、御酒 【ごしゅ】"
105,5,お皿,おさら,[Noun] 1. plate; dish {See also 皿}
106,5,教える,おしえる,"[Ichidan verb, Transitive verb] 1. to teach; to instruct 2. to tell; to inform 3. to preach | Other forms: 訓える 【おしえる】 [Notes] 訓える: Out-dated kanji."
107,5,押す,おす,"[Godan verb with su ending, Transitive verb] 1. to push; to press {Only applies to 押す} 2. to apply pressure from above; to press down {Only applies to 押す, Only applies to 圧す} 3. to stamp (i.e. a passport); to apply a seal {Only applies to 押す, Only applies to 捺す, See also 判を押す} 4. to affix (e.g. gold leaf) {Only applies to 押す} 5. to press (someone for something); to urge; to compel; to influence {Only applies to 押す} 6. to overwhelm; to overpower; to repress {Only applies to 押す, Only applies to 圧す} 7. to push (events along); to advance (a plan) {Only applies to 押す} 8. to do in spite of ...; to do even though ...; to force {Only applies to 押す} 9. to make sure {Only applies to 押す, See also 念を押す ねんをおす, See also 駄目を押す だめをおす} 10. to be pressed for time {Only applies to 押す} 11. to advance troops; to attack {Only applies to 押す} 12. (of light) to be diffused across an entire surface {Only applies to 押す} | Other forms: 圧す 【おす】、捺す 【おす】"
